ReE,ImE,rho_pi,rho_gamma,rho_total
-1.2413793103448276,-0.034482758620689655,2.6348616472415707e-6 - 1.1368264267931695e-7im,4.174065010744492e-6 - 6.936808873298227e-8im,6.808926657986063e-6 - 1.830507314122992e-7im
-1.2413793103448276,0.06896551724137931,2.6257511017792605e-6 + 2.2692646491007495e-7im,4.1700889560040245e-6 + 1.3856422391043192e-7im,6.7958400577832846e-6 + 3.6549068882050687e-7im
-1.2413793103448276,0.1724137931034483,2.5628510878719766e-6 + 5.597419231500061e-7im,4.1425971784289016e-6 + 3.4340291403736876e-7im,6.7054482663008786e-6 + 9.031448371873749e-7im
-1.2413793103448276,0.27586206896551724,2.4499456787895943e-6 + 8.738441194329224e-7im,4.09306234058889e-6 + 5.407983386489833e-7im,6.543008019378484e-6 + 1.4146424580819056e-6im
-1.2413793103448276,0.3793103448275862,2.2934704756985996e-6 + 1.1601308339024785e-6im,4.0239848647187025e-6 + 7.271144671050098e-7im,6.317455340417302e-6 + 1.8872453010074884e-6im
-1.2413793103448276,0.4827586206896552,2.10162333624452e-6 + 1.411967360932092e-6im,3.9385445481136675e-6 + 8.996705885137049e-7im,6.0401678843581875e-6 + 2.3116379494457968e-6im
-1.2413793103448276,0.5862068965517241,1.8833573344093728e-6 + 1.6253989062086577e-6im,3.8402060272294215e-6 + 1.056818472321615e-6im,5.723563361638794e-6 + 2.6822173785302728e-6im
-1.2413793103448276,0.6896551724137931,1.6475048164234032e-6 + 1.7989719528465503e-6im,3.7323757305371285e-6 + 1.1978645639584954e-6im,5.3798805469605314e-6 + 2.9968365168050457e-6im
-1.2413793103448276,0.7931034482758621,1.4021193984110439e-6 + 1.933306579193826e-6im,3.6181873681224063e-6 + 1.3229001643205374e-6im,5.02030676653345e-6 + 3.2562067435143636e-6im
-1.2413793103448276,0.896551724137931,1.1540825033038513e-6 + 2.030547417908395e-6im,3.5003266162734787e-6 + 1.4325922669240053e-6im,4.6544091195773305e-6 + 3.4631396848324e-6im
-1.2413793103448276,1.0,9.089531781912329e-7 + 2.0938303364536303e-6im,3.3809849981570275e-6 + 1.5279799308419421e-6im,4.289938176348261e-6 + 3.6218102672955724e-6im
-1.1379310344827587,-2.0,-9.526391714154376e-7 - 1.7738787482203123e-6im,2.3659577348324573e-6 - 2.0446105404312346e-6im,1.4133185634170197e-6 - 3.818489288651547e-6im
-1.1379310344827587,-1.896551724137931,-8.251369011201954e-7 - 1.8806386298839745e-6im,2.460450202237566e-6 - 2.0320263075948535e-6im,1.6353133011173705e-6 - 3.912664937478828e-6im
-1.1379310344827587,-1.793103448275862,-6.832026170876074e-7 - 1.982670457015974e-6im,2.5593468202890388e-6 - 2.0152800791319375e-6im,1.8761442032014313e-6 - 3.997950536147911e-6im
-1.1379310344827587,-1.6896551724137931,-5.25911052214682e-7 - 2.0782515418793476e-6im,2.6628184411195613e-6 - 1.993708477866297e-6im,2.1369073889048793e-6 - 4.071960019745644e-6im
-1.1379310344827587,-1.5862068965517242,-3.524058673865299e-7 - 2.165322644000129e-6im,2.7709987616678324e-6 - 1.9665354669429084e-6im,2.4185928942813025e-6 - 4.1318581109430374e-6im
-1.1379310344827587,-1.4827586206896552,-1.6197430575925179e-7 - 2.2414101222995895e-6im,2.8839608672840913e-6 - 1.932854321006089e-6im,2.7219865615248396e-6 - 4.174264443305679e-6im
-1.1379310344827587,-1.3793103448275863,4.586148662724587e-8 - 2.3035882310656497e-6im,3.0016871896390444e-6 - 1.8916114242860548e-6im,3.0475486762662902e-6 - 4.195199655351704e-6im
-1.1379310344827587,-1.2758620689655173,2.712151850027565e-7 - 2.348435758471001e-6im,3.124021680550802e-6 - 1.8415903680872184e-6im,3.395236865553559e-6 - 4.190026126558219e-6im
-1.1379310344827587,-1.1724137931034482,5.13666452452729e-7 - 2.3720061141344756e-6im,3.250619373503189e-6 - 1.7814070513141961e-6im,3.764285825955918e-6 - 4.153413165448672e-6im
-1.1379310344827587,-1.0689655172413792,7.720493581133976e-7 - 2.369857472983135e-6im,3.3808609277514084e-6 - 1.7095077350416748e-6im,4.152910285864806e-6 - 4.07936520802481e-6im
-1.1379310344827587,-0.9655172413793104,1.0441910921119697e-6 - 2.337119607937474e-6im,3.5137721929324834e-6 - 1.624203010272928e-6im,4.557963285044453e-6 - 3.961322618210402e-6im
-1.1379310344827587,-0.8620689655172413,1.3266218144905291e-6 - 2.2686835089854244e-6im,3.6479121579706796e-6 - 1.5237224866410961e-6im,4.974533972461209e-6 - 3.7924059956265208e-6im
-1.1379310344827587,-0.7586206896551724,1.614275036377289e-6 - 2.1595115785381307e-6im,3.7812553519988196e-6 - 1.40632849727907e-6im,5.395530388376109e-6 - 3.565840075817201e-6im
-1.1379310344827587,-0.6551724137931034,1.9002500898484894e-6 - 2.005130539077095e-6im,3.911118211432877e-6 - 1.2704906959543761e-6im,5.811368301281367e-6 - 3.275621235031471e-6im
-1.1379310344827587,-0.5517241379310345,2.175708102727529e-6 - 1.8023003764938638e-6im,4.03407754180446e-6 - 1.115132554860895e-6im,6.2097856445319895e-6 - 2.917432931354759e-6im
-1.1379310344827587,-0.4482758620689655,2.4300418524074663e-6 - 1.5498426757980955e-6im,4.146049062211866e-6 - 9.399477442784788e-7im,6.576090914619332e-6 - 2.489790420076574e-6im
-1.1379310344827587,-0.3448275862068966,2.651425948688715e-6 - 1.2495064691869081e-6im,4.242474055343295e-6 - 7.457348627260184e-7im,6.89390000403201e-6 - 1.9952413319129263e-6im
-1.1379310344827587,-0.2413793103448276,2.827814306097238e-6 - 9.066690218971598e-7im,4.318702361313185e-6 - 5.346807951613276e-7im,7.146516667410423e-6 - 1.4413498170584875e-6im
-1.1379310344827587,-0.13793103448275862,2.948344363421708e-6 - 5.306115125891036e-7im,4.370517593376051e-6 - 3.104811774224357e-7im,7.3188619567977585e-6 - 8.410926900115393e-7im
-1.1379310344827587,-0.034482758620689655,3.0049090296383827e-6 - 1.3412221128993886e-7im,4.3947640348221094e-6 - 7.819996463009778e-8im,7.399673064460492e-6 - 2.1232217592003664e-7im
-1.1379310344827587,0.06896551724137931,2.993504407953177e-6 + 2.676518813264425e-7im,4.389878878398162e-6 + 1.5616793111305154e-7im,7.383383286351339e-6 + 4.2381981243949406e-7im
-1.1379310344827587,0.1724137931034483,2.914948379713e-6 + 6.589284283378757e-7im,4.35618152266314e-6 + 3.86387034334074e-7im,7.27112990237614e-6 + 1.0453154626719497e-6im
-1.1379310344827587,0.27586206896551724,2.7747311516315837e-6 + 1.025176712825738e-6im,4.295812979425904e-6 + 6.067061225763839e-7im,7.070544131057488e-6 + 1.631882835402122e-6im
-1.1379310344827587,0.3793103448275862,2.582044815576124e-6 + 1.354686938960803e-6im,4.212349343921226e-6 + 8.124826017033165e-7im,6.79439415949735e-6 + 2.1671695406641194e-6im
-1.1379310344827587,0.4827586206896552,2.3483256614185917e-6 + 1.6394706133605315e-6im,4.110223271108087e-6 + 1.0005228943080066e-6im,6.4585489325266784e-6 + 2.639993507668538e-6im
-1.1379310344827587,0.5862068965517241,2.085678491139027e-6 + 1.8754184673269181e-6im,3.994100504594216e-6 + 1.1691261052092011e-6im,6.079778995733243e-6 + 3.044544572536119e-6im
-1.1379310344827587,0.6896551724137931,1.8056185073982573e-6 + 2.061848368549953e-6im,3.86841419365748e-6 + 1.317898472884323e-6im,5.6740327010557375e-6 + 3.3797468414342763e-6im
-1.1379310344827587,0.7931034482758621,1.518196327677491e-6 + 2.2007227106225548e-6im,3.737047130946839e-6 + 1.4474402007814229e-6im,5.25524345862433e-6 + 3.648162911403978e-6im
-1.1379310344827587,0.896551724137931,1.2316127764307785e-6 + 2.295779351316915e-6im,3.603173272965888e-6 + 1.5590114938347542e-6im,4.834786049396666e-6 + 3.854790845151669e-6im
-1.1379310344827587,1.0,9.521329586145688e-7 + 2.3517445997976543e-6im,3.469250122404149e-6 + 1.6542361039862229e-6im,4.421383081018718e-6 + 4.005980703783878e-6im
-1.0344827586206897,-2.0,-1.0682178551908893e-6 - 1.8959592472816605e-6im,2.3744637001957717e-6 - 2.138721724399261e-6im,1.3062458450048824e-6 - 4.0346809716809215e-6im
-1.0344827586206897,-1.896551724137931,-9.372676071523878e-7 - 2.017378837683373e-6im,2.472706992533225e-6 - 2.1307255657483613e-6im,1.5354393853808372e-6 - 4.1481044034317345e-6im
-1.0344827586206897,-1.793103448275862,-7.903223692087076e-7 - 2.1351748624975255e-6im,2.5759765747412385e-6 - 2.118815032819827e-6im,1.7856542055325308e-6 - 4.2539898953173525e-6im
-1.0344827586206897,-1.6896551724137931,-6.261086975333488e-7 - 2.247606169054869e-6im,2.6845523568238976e-6 - 2.1022874856231545e-6im,2.058443659290549e-6 - 4.349893654678023e-6im
-1.0344827586206897,-1.5862068965517242,-4.4336320036903244e-7 - 2.3525372529366414e-6im,2.7987020249946053e-6 - 2.0803364382560234e-6im,2.3553388246255727e-6 - 4.432873691192665e-6im
-1.0344827586206897,-1.4827586206896552,-2.408944737812557e-7 - 2.447347940752172e-6im,2.918653237255439e-6 - 2.05199056996154e-6im,2.6777587634741835e-6 - 4.499338510713712e-6im
-1.0344827586206897,-1.3793103448275863,-1.76808197691957e-8 - 2.528839393063309e-6im,3.044564546230097e-6 - 2.0160943121682895e-6im,3.0268837264609014e-6 - 4.544933705231598e-6im
-1.0344827586206897,-1.2758620689655173,2.269934658483802e-7 - 2.593178146812453e-6im,3.1764808491395193e-6 - 1.9712774406814075e-6im,3.4034743149878995e-6 - 4.56445558749386e-6im
-1.0344827586206897,-1.1724137931034482,4.933438679199382e-7 - 2.6357813418484265e-6im,3.314263321424899e-6 - 1.9159275035391196e-6im,3.807607189344837e-6 - 4.551708845387546e-6im
-1.0344827586206897,-1.0689655172413792,7.808227396366801e-7 - 2.651306927384652e-6im,3.45750469021212e-6 - 1.848173034558378e-6im,4.2383274298488e-6 - 4.49947996194303e-6im
-1.0344827586206897,-0.9655172413793104,1.0877771735462554e-6 - 2.6336576834309456e-6im,3.605405674034021e-6 - 1.7658849298394081e-6im,4.693182847580276e-6 - 4.399542613270354e-6im
-1.0344827586206897,-0.8620689655172413,1.4110267790223536e-6 - 2.5761148198519066e-6im,3.75662498755351e-6 - 1.6667160854632259e-6im,5.167651766575863e-6 - 4.242830905315133e-6im
-1.0344827586206897,-0.7586206896551724,1.745376680677839e-6 - 2.471653518104283e-6im,3.909095468000888e-6 - 1.5482066886929413e-6im,5.6544721486787275e-6 - 4.019860206797224e-6im
-1.0344827586206897,-0.6551724137931034,2.0831496696281817e-6 - 2.3135092865503296e-6im,4.059846889968231e-6 - 1.4079811251355318e-6im,6.142996559596413e-6 - 3.721490411685861e-6im
-1.0344827586206897,-0.5517241379310345,2.413830780493157e-6 - 2.0960604003858303e-6im,4.204851379038525e-6 - 1.2440685123700767e-6im,6.618682159531682e-6 - 3.340128912755907e-6im
-1.0344827586206897,-0.4482758620689655,2.724032495643161e-6 - 1.8160332260772677e-6im,4.338989962144058e-6 - 1.0553562061573144e-6im,7.063022457787219e-6 - 2.8713894322345823e-6im
-1.0344827586206897,-0.3448275862068966,2.9980519258247176e-6 - 1.473927037184098e-6im,4.456223301811499e-6 - 8.421441404326443e-7im,7.454275227636217e-6 - 2.316071177616742e-6im
-1.0344827586206897,-0.2413793103448276,3.2191673871208835e-6 - 1.07533378437416e-6im,4.5501101573465705e-6 - 6.066747174464482e-7im,7.769277544467453e-6 - 1.682008501820608e-6im
-1.0344827586206897,-0.13793103448275862,3.371733886730592e-6 - 6.316931992432897e-7im,4.6145705045233355e-6 - 3.5345720049715863e-7im,7.986304391253927e-6 - 9.851503997404483e-7im
-1.0344827586206897,-0.034482758620689655,3.443756577713994e-6 - 1.59957519593455e-7im,4.644918701111467e-6 - 8.916509885534764e-8im,8.088675278825461e-6 - 2.4912261844880265e-7im
-1.0344827586206897,0.06896551724137931,3.429213179230059e-6 + 3.1909328884823245e-7im,4.638794518488168e-6 + 1.7800844529625214e-7im,8.068007697718227e-6 + 4.971017341444846e-7im
-1.0344827586206897,0.1724137931034483,3.3293385808236623e-6 + 7.836329752236102e-7im,4.596682573476231e-6 + 4.394628892471809e-7im,7.926021154299893e-6 + 1.223095864470791e-6im
-1.0344827586206897,0.27586206896551724,3.152355786567387e-6 + 1.2138907990079535e-6im,4.5218029681570715e-6 + 6.874068811713457e-7im,7.674158754724459e-6 + 1.9012976801792993e-6im
-1.0344827586206897,0.3793103448275862,2.9117621704104836e-6 + 1.5946312924156486e-6im,4.4194186601790525e-6 + 9.158435905034381e-7im,7.331180830589536e-6 + 2.5104748829190867e-6im
-1.0344827586206897,0.4827586206896552,2.623837666015407e-6 + 1.9163913634720672e-6im,4.295844158424861e-6 + 1.1210332465046356e-6im,6.9196818244402675e-6 + 3.037424609976703e-6im
-1.0344827586206897,0.5862068965517241,2.3051610184326803e-6 + 2.175398773465515e-6im,4.1574501529577664e-6 + 1.3014299430685273e-6im,6.462611171390447e-6 + 3.4768287165340423e-6im
-1.0344827586206897,0.6896551724137931,1.970767143285512e-6 + 2.3725713580330652e-6im,4.010013584007876e-6 + 1.4572704827029068e-6im,5.980780727293387e-6 + 3.829841840735972e-6im
-1.0344827586206897,0.7931034482758621,1.6331111453843653e-6 + 2.512118163767062e-6im,3.85829478121255e-6 + 1.590009732904606e-6im,5.491405926596915e-6 + 4.102127896671668e-6im
-1.0344827586206897,0.896551724137931,1.3017394305516453e-6 + 2.6001604186662375e-6im,3.7059608312868952e-6 + 1.701799252390919e-6im,5.007700261838541e-6 + 4.3019596710571565e-6im
-1.0344827586206897,1.0,9.834545823516692e-7 + 2.6436317769094542e-6im,3.5556576239055115e-6 + 1.7950706752994317e-6im,4.539112206257181e-6 + 4.4387024522088855e-6im
-0.9310344827586207,-2.0,-1.1985399299138843e-6 - 2.0202156438659386e-6im,2.3782334669858697e-6 - 2.236172986580357e-6im,1.1796935370719854e-6 - 4.256388630446295e-6im
-0.9310344827586207,-1.896551724137931,-1.065387701039345e-6 - 2.1576918966570476e-6im,2.479940952178958e-6 - 2.2333388356721806e-6im,1.4145532511396127e-6 - 4.391030732329228e-6im
-0.9310344827586207,-1.793103448275862,-9.147110879816124e-7 - 2.292974834428278e-6im,2.58729402807121e-6 - 2.226929925700252e-6im,1.6725829400895977e-6 - 4.5199047601285305e-6im
-0.9310344827586207,-1.6896551724137931,-7.448505433342623e-7 - 2.4243835314583013e-6im,2.7007067355004116e-6 - 2.216264261128117e-6im,1.9558561921661494e-6 - 4.640647792586418e-6im
-0.9310344827586207,-1.5862068965517242,-5.540701403959641e-7 - 2.5497841293864876e-6im,2.8205917882295027e-6 - 2.200500732787543e-6im,2.2665216478335385e-6 - 4.750284862174031e-6im
-0.9310344827586207,-1.4827586206896552,-3.40609079951235e-7 - 2.6664866756065237e-6im,2.947366156112584e-6 - 2.1786416610544668e-6im,2.6067570761613487e-6 - 4.8451283366609905e-6im
-0.9310344827586207,-1.3793103448275863,-1.0276496554623782e-7 - 2.771130134858389e-6im,3.0814091447443175e-6 - 2.1494578626198885e-6im,2.9786441791980795e-6 - 4.9205879974782775e-6im
-0.9310344827586207,-1.2758620689655173,1.6097102374431188e-7 - 2.8595205982345844e-6im,3.223028913350587e-6 - 2.111453834461945e-6im,3.383999937094899e-6 - 4.9709744326965295e-6im
-0.9310344827586207,-1.1724137931034482,4.5171021827193634e-7 - 2.926505574744916e-6im,3.3723860505406346e-6 - 2.0628101509728954e-6im,3.8240962688125705e-6 - 4.989315725717811e-6im
-0.9310344827586207,-1.0689655172413792,7.698666811190031e-7 - 2.9658260257997273e-6im,3.529400429147499e-6 - 2.0013352751088085e-6im,4.299267110266502e-6 - 4.967161300908536e-6im
-0.9310344827586207,-0.9655172413793104,1.1147337043420664e-6 - 2.970030443936809e-6im,3.6936031277808235e-6 - 1.924426326529292e-6im,4.80833683212289e-6 - 4.894456770466101e-6im
-0.9310344827586207,-0.8620689655172413,1.4839104078041517e-6 - 2.930497227190786e-6im,3.86393374480191e-6 - 1.8290602254613433e-6im,5.347844152606061e-6 - 4.759557452652129e-6im
-0.9310344827586207,-0.7586206896551724,1.8725751755026039e-6 - 2.8376591586975077e-6im,4.038476095349872e-6 - 1.711864543439341e-6im,5.911051270852476e-6 - 4.549523702136849e-6im
-0.9310344827586207,-0.6551724137931034,2.2726509692746455e-6 - 2.681579038016395e-6im,4.21413895275661e-6 - 1.5692992399007417e-6im,6.4867899220312555e-6 - 4.250878277917137e-6im
-0.9310344827586207,-0.5517241379310345,2.6720179055363942e-6 - 2.453027245926632e-6im,4.386328846296198e-6 - 1.398037771957901e-6im,7.058346751832592e-6 - 3.8510650178845335e-6im
-0.9310344827586207,-0.4482758620689655,3.054010124879402e-6 - 2.145167487343002e-6im,4.548740051156831e-6 - 1.1955955761221312e-6im,7.6027501760362335e-6 - 3.340763063465133e-6im
-0.9310344827586207,-0.3448275862068966,3.3977495450231097e-6 - 1.755841438338066e-6im,4.6933826311693465e-6 - 9.612015284557893e-7im,8.091132176192457e-6 - 2.717042966793855e-6im
-0.9310344827586207,-0.2413793103448276,3.679680580085187e-6 - 1.2900058385117268e-6im,4.811179896651647e-6 - 6.967937131156255e-7im,8.490860476736834e-6 - 1.9867995516273523e-6im
-0.9310344827586207,-0.13793103448275862,3.876693997423057e-6 - 7.615416757738781e-7im,4.893135746522487e-6 - 4.077730574760345e-7im,8.769829743945544e-6 - 1.1693147332499126e-6im
-0.9310344827586207,-0.034482758620689655,3.9704279190593595e-6 - 1.9329212663679213e-7im,4.932039410222119e-6 - 1.0308821145771828e-7im,8.902467329281478e-6 - 2.963803380945104e-7im
-0.9310344827586207,0.06896551724137931,3.95146233176074e-6 + 3.854073331667384e-7im,4.924172153955505e-6 + 2.057137100768256e-7im,8.875634485716244e-6 + 5.91121043243564e-7im
-0.9310344827586207,0.1724137931034483,3.821740242733966e-6 + 9.434131856240088e-7im,4.8703017461501814e-6 + 5.06362884673206e-7im,8.692041988884148e-6 + 1.4497760702972148e-6im
-0.9310344827586207,0.27586206896551724,3.5940513644462002e-6 + 1.4531224870659632e-6im,4.7754709320849865e-6 + 7.880072272338868e-7im,8.369522296531187e-6 + 2.24112971429985e-6im
-0.9310344827586207,0.3793103448275862,3.2888466275178353e-6 + 1.8945342001562884e-6im,4.647693468888718e-6 + 1.0428289745099412e-6im,7.936540096406553e-6 + 2.9373631746662296e-6im
-0.9310344827586207,0.4827586206896552,2.929820892440405e-6 + 2.256855645807999e-6im,4.496153441003729e-6 + 1.2666351897681398e-6im,7.425974333444134e-6 + 3.523490835576139e-6im
-0.9310344827586207,0.5862068965517241,2.5399079659829356e-6 + 2.5377576858650944e-6im,4.329670486592932e-6 + 1.458492896490307e-6im,6.869578452575868e-6 + 3.996250582355401e-6im
-0.9310344827586207,0.6896551724137931,2.1386815819711266e-6 + 2.7412327942312216e-6im,4.1557096577655616e-6 + 1.6198552983377269e-6im,6.294391239736688e-6 + 4.361088092568949e-6im
-0.9310344827586207,0.7931034482758621,1.7412771767486956e-6 + 2.875142942236351e-6im,3.979991228520122e-6 + 1.7535734643692764e-6im,5.721268405268818e-6 + 4.6287164066056275e-6im
-0.9310344827586207,0.896551724137931,1.3583894188520848e-6 + 2.9491106118398454e-6im,3.8065734155518724e-6 + 1.8631020061675675e-6im,5.164962834403957e-6 + 4.8122126180074125e-6im
-0.9310344827586207,1.0,9.969163690204056e-7 + 2.9730402080038255e-6im,3.638120461425336e-6 + 1.9519553631528815e-6im,4.635036830445741e-6 + 4.9249955711567074e-6im
-0.8275862068965517,-2.0,-1.3448105014708511e-6 - 2.145294397565012e-6im,2.3767514248980877e-6 - 2.3366313609951206e-6im,1.0319409234272366e-6 - 4.481925758560133e-6im
-0.8275862068965517,-1.896551724137931,-1.2110145508377122e-6 - 2.300133758777935e-6im,2.4815322448702386e-6 - 2.3395170724639067e-6im,1.2705176940325265e-6 - 4.639650831241841e-6im
-0.8275862068965517,-1.793103448275862,-1.0582711976190702e-6 - 2.4545736109168864e-6im,2.5925599939062304e-6 - 2.339289894660491e-6im,1.5342887962871601e-6 - 4.7938635055773775e-6im
-0.8275862068965517,-1.6896551724137931,-8.845071418772655e-7 - 2.6070743631464226e-6im,2.7103797853388354e-6 - 2.3352909534859547e-6im,1.82587264346157e-6 - 4.942365316632377e-6im
-0.8275862068965517,-1.5862068965517242,-6.87466688548023e-7 - 2.7556126880911236e-6im,2.8355877985848936e-6 - 2.326723200084646e-6im,2.148121110036871e-6 - 5.08233588817577e-6im
-0.8275862068965517,-1.4827586206896552,-4.647370357265112e-7 - 2.8975545797929856e-6im,2.9687963491880892e-6 - 2.312571012306862e-6im,2.504059313461578e-6 - 5.210125592099847e-6im
-0.8275862068965517,-1.3793103448275863,-2.1380420510346262e-7 - 3.0295071068866615e-6im,3.110656346870674e-6 - 2.291588557405996e-6im,2.896852141767211e-6 - 5.321095664292658e-6im
-0.8275862068965517,-1.2758620689655173,6.783257049692137e-8 - 3.1470832832756202e-6im,3.261798556891032e-6 - 2.2622067027423355e-6im,3.3296311273879536e-6 - 5.409289986017956e-6im
-0.8275862068965517,-1.1724137931034482,3.8247665842213694e-7 - 3.2446948941315755e-6im,3.422787921204381e-6 - 2.222453754503042e-6im,3.8052645796265183e-6 - 5.467148648634617e-6im
-0.8275862068965517,-1.0689655172413792,7.319230637955496e-7 - 3.3152612416582426e-6im,3.594011336338219e-6 - 2.1698617567627425e-6im,4.325934400133768e-6 - 5.4851229984209855e-6im
-0.8275862068965517,-0.9655172413793104,1.116982610913354e-6 - 3.349976661516144e-6im,3.775530572058217e-6 - 2.1013607812348736e-6im,4.892513182971571e-6 - 5.451337442751017e-6im
-0.8275862068965517,-0.8620689655172413,1.5367655821653037e-6 - 3.3381084700539957e-6im,3.966837181349186e-6 - 2.013202710357516e-6im,5.50360276351449e-6 - 5.351311180411512e-6im
-0.8275862068965517,-0.7586206896551724,1.9876768752355155e-6 - 3.267005350977762e-6im,4.166486074204707e-6 - 1.900920557128638e-6im,6.154162949440222e-6 - 5.1679259081064e-6im
-0.8275862068965517,-0.6551724137931034,2.4620898554647647e-6 - 3.1225045449372383e-6im,4.371607501599097e-6 - 1.7594455826520155e-6im,6.833697357063861e-6 - 4.881950127589254e-6im
-0.8275862068965517,-0.5517241379310345,2.9468254834397555e-6 - 2.8900687326067603e-6im,4.577302611611891e-6 - 1.5834713638396305e-6im,7.524128095051647e-6 - 4.473540096446391e-6im
-0.8275862068965517,-0.4482758620689655,3.42175563720076e-6 - 2.5569744128970254e-6im,4.77604820127062e-6 - 1.3682408526559945e-6im,8.19780383847138e-6 - 3.92521526555302e-6im
-0.8275862068965517,-0.3448275862068966,3.859294730942055e-6 - 2.1158023571959006e-6im,4.9573875788209475e-6 - 1.1108721182135763e-6im,8.816682309763002e-6 - 3.2266744754094767e-6im
-0.8275862068965517,-0.2413793103448276,4.225900374244886e-6 - 1.5688775063655947e-6im,5.108390278739397e-6 - 8.121472873786108e-7im,9.334290652984283e-6 - 2.3810247937442055e-6im
-0.8275862068965517,-0.13793103448275862,4.486478736125394e-6 - 9.323256103860407e-7im,5.215358914435252e-6 - 4.782139977258578e-7im,9.701837650560647e-6 - 1.4105396081118985e-6im
-0.8275862068965517,-0.034482758620689655,4.611783538718248e-6 - 2.3739937751778908e-7im,5.266760513003619e-6 - 1.212600809551696e-7im,9.878544051721867e-6 - 3.586594584729587e-7im
-0.8275862068965517,0.06896551724137931,4.5863592536333055e-6 + 4.7304543105468345e-7im,5.256346886091808e-6 + 2.4182734695130445e-7im,9.842706139725115e-6 + 7.14872778005988e-7im
-0.8275862068965517,0.1724137931034483,4.413417988305542e-6 + 1.1528347776758525e-6im,5.185391082681039e-6 + 5.92804540475805e-7im,9.59880907098658e-6 + 1.7456393181516574e-6im
-0.8275862068965517,0.27586206896551724,4.113784142206009e-6 + 1.7622572755090346e-6im,5.062281774710803e-6 + 9.160628309760309e-7im,9.176065916916812e-6 + 2.6783201064850654e-6im
-0.8275862068965517,0.3793103448275862,3.7195857186672345e-6 + 2.2749757965735414e-6im,4.899636189223735e-6 + 1.2013916371998427e-6im,8.61922190789097e-6 + 3.476367433773384e-6im
-0.8275862068965517,0.4827586206896552,3.2660887001728837e-6 + 2.679803557067623e-6im,4.711156903309981e-6 + 1.4445807054496204e-6im,7.977245603482866e-6 + 4.124384262517244e-6im
-0.8275862068965517,0.5862068965517241,2.7851894698407592e-6 + 2.9781739299422457e-6im,4.509078378185369e-6 + 1.6462795955442576e-6im,7.294267848026128e-6 + 4.624453525486504e-6im
-0.8275862068965517,0.6896551724137931,2.3020230228337748e-6 + 3.1797353342097117e-6im,4.302879422219761e-6 + 1.8101768147516903e-6im,6.604902445053535e-6 + 4.989912148961402e-6im
-0.8275862068965517,0.7931034482758621,1.8342854946396035e-6 + 3.2981397160935814e-6im,4.099150412040686e-6 + 1.9413312548238726e-6im,5.93343590668029e-6 + 5.239470970917454e-6im
-0.8275862068965517,0.896551724137931,1.3931325194839196e-6 + 3.3479838786960897e-6im,3.902045386920119e-6 + 2.0450338242295754e-6im,5.295177906404039e-6 + 5.3930177029256655e-6im
-0.8275862068965517,1.0,9.84682309888112e-7 + 3.343009452515624e-6im,3.7138961608944572e-6 + 2.1261784636688744e-6im,4.69857847078257e-6 + 5.469187916184498e-6im
-0.7241379310344828,-2.0,-1.508114364586069e-6 - 2.2695484499809128e-6im,2.3695258375449267e-6 - 2.439673847275865e-6im,8.614114729588578e-7 - 4.709222297256778e-6im
-0.7241379310344828,-1.896551724137931,-1.3755567129861688e-6 - 2.4429100910763124e-6im,2.476884582854008e-6 - 2.448799279898351e-6im,1.1013278698678392e-6 - 4.891709370974663e-6im
-0.7241379310344828,-1.793103448275862,-1.222820505809521e-6 - 2.6180355881754473e-6im,2.5910425449606866e-6 - 2.4553974696904384e-6im,1.3682220391511656e-6 - 5.073433057865886e-6im
-0.7241379310344828,-1.6896551724137931,-1.0474142181043492e-6 - 2.7936256845809695e-6im,2.7126827745460587e-6 - 2.4588672535787395e-6im,1.6652685564417095e-6 - 5.252492938159709e-6im
-0.7241379310344828,-1.5862068965517242,-8.46536354943357e-7 - 2.967905581977398e-6im,2.84258135590331e-6 - 2.4584816914029658e-6im,1.9960450009599532e-6 - 5.426387273380364e-6im
-0.7241379310344828,-1.4827586206896552,-6.170669122685871e-7 - 3.1384600130943178e-6im,2.9815729219436535e-6 - 2.453275107172535e-6im,2.3645060096750663e-6 - 5.591735120266852e-6im
-0.7241379310344828,-1.3793103448275863,-3.555781600467206e-7 - 3.3020586952312433e-6im,3.130606953121552e-6 - 2.4420502609905486e-6im,2.7750287930748314e-6 - 5.744108956221792e-6im
-0.7241379310344828,-1.2758620689655173,-5.839238798275822e-8 - 3.4543709228390434e-6im,3.2906996886622906e-6 - 2.4232480049921924e-6im,3.2323073006795324e-6 - 5.877618927831236e-6im
-0.7241379310344828,-1.1724137931034482,2.782822060373049e-7 - 3.5896300856003406e-6im,3.4629024596287124e-6 - 2.394837286471928e-6im,3.7411846656660174e-6 - 5.984467372072269e-6im
-0.7241379310344828,-1.0689655172413792,6.580911830284296e-7 - 3.7002169602984875e-6im,3.6482318724153782e-6 - 2.3541775838739935e-6im,4.306323055443808e-6 - 6.054394544172481e-6im
-0.7241379310344828,-0.9655172413793104,1.084064987615306e-6 - 3.7761765652276545e-6im,3.8475193586953956e-6 - 2.297831915007154e-6im,4.931584346310701e-6 - 6.074008480234809e-6im
-0.7241379310344828,-0.8620689655172413,1.5578301482923011e-6 - 3.804686304750883e-6im,4.061162082974877e-6 - 2.2213589445881193e-6im,5.618992231267178e-6 - 6.026045249339003e-6im
