ReE,ImE,hook,straight,diff
-0.2,-0.001,2.7916344007860794e-5,2.791633736635918e-5,6.6415016152963306e-12
-0.18333333333333332,-0.001,2.9432790356287983e-5,2.9432804668694404e-5,-1.43124064202083e-11
-0.16666666666666666,-0.001,3.115367753145986e-5,3.115367941046056e-5,-1.8790006985243413e-12
-0.15,-0.001,3.3129823192682945e-5,3.3129832265178636e-5,-9.072495691178368e-12
-0.13333333333333333,-0.001,3.5431899161743394e-5,3.54319101477328e-5,-1.0985989407682334e-11
-0.11666666666666667,-0.001,3.816172874790473e-5,3.8161739508369975e-5,-1.076046524562009e-11
-0.1,-0.001,4.1472184007629905e-5,4.1472198923735515e-5,-1.4916105609236e-11
-0.08333333333333333,-0.001,4.560489143914563e-5,4.560484126969859e-5,5.0169447040465925e-11
-0.06666666666666667,-0.001,5.096706690046015e-5,5.0966912198029636e-5,1.5470243051277522e-10
-0.05,-0.001,5.8298796990077026e-5,5.8298788793737836e-5,8.196339189769832e-12
-0.03333333333333333,-0.001,6.906027668245202e-5,6.906031395306737e-5,-3.7270615345602436e-11
-0.016666666666666666,-0.001,8.619519344913485e-5,8.619563108176199e-5,-4.376326271315033e-10
0.0,-0.001,0.00011379762600408324,0.00011379838950987335,-7.635057901124627e-10
0.016666666666666666,-0.001,0.00014994222331559922,0.00014994530668425895,-3.083368659733462e-9
0.03333333333333333,-0.001,0.00018616389645387856,0.00018616718416248793,-3.2877086093710886e-9
0.05,-0.001,0.00021888992735202123,0.0002188896648121904,2.6253983083130046e-10
0.06666666666666667,-0.001,0.0002481821168137606,0.0002481822340118482,-1.1719808760621286e-10
0.08333333333333333,-0.001,0.00027469935689586973,0.0002746997806973875,-4.238015177508714e-10
0.1,-0.001,0.00029902051195120023,0.00029902107453289717,-5.625816969397068e-10
0.11666666666666667,-0.001,0.00032157235439365613,0.00032157329937971266,-9.449860565282145e-10
0.13333333333333333,-0.001,0.00034267415651644055,0.0003426744728084523,-3.162920117331415e-10
0.15,-0.001,0.0003625490114621822,0.00036255326508884177,-4.253626659559383e-9
0.16666666666666666,-0.001,0.00038142272953012345,0.0003814241974479764,-1.4679178529718e-9
0.18333333333333332,-0.001,0.00039938693566635305,0.0003993626411938555,2.4294472497545655e-8
0.2,-0.001,0.00041658378091803867,0.0004165863271215209,-2.546203482214557e-9
-0.2,0.001,2.7916344007860794e-5,2.791633736635918e-5,6.6415016152963306e-12
-0.18333333333333332,0.001,2.9432790356287983e-5,2.9432804668694404e-5,-1.43124064202083e-11
-0.16666666666666666,0.001,3.115367753145986e-5,3.115367941046056e-5,-1.8790006985243413e-12
-0.15,0.001,3.3129823192682945e-5,3.3129832265178636e-5,-9.072495691178368e-12
-0.13333333333333333,0.001,3.5431899161743394e-5,3.54319101477328e-5,-1.0985989407682334e-11
-0.11666666666666667,0.001,3.816172874790473e-5,3.8161739508369975e-5,-1.076046524562009e-11
-0.1,0.001,4.1472184007629905e-5,4.1472198923735515e-5,-1.4916105609236e-11
-0.08333333333333333,0.001,4.560489143914563e-5,4.560484126969859e-5,5.0169447040465925e-11
-0.06666666666666667,0.001,5.096706690046015e-5,5.0966912198029636e-5,1.5470243051277522e-10
-0.05,0.001,5.8298796990077026e-5,5.8298788793737836e-5,8.196339189769832e-12
-0.03333333333333333,0.001,6.906027668245202e-5,6.906031395306737e-5,-3.7270615345602436e-11
-0.016666666666666666,0.001,8.619519344913485e-5,8.619563108176199e-5,-4.376326271315033e-10
0.0,0.001,0.00011379762600408324,0.00011379838950987335,-7.635057901124627e-10
0.016666666666666666,0.001,0.00014994222331559922,0.00014994530668425895,-3.083368659733462e-9
0.03333333333333333,0.001,0.00018616389645387856,0.00018616718416248793,-3.2877086093710886e-9
0.05,0.001,0.00021888992735202123,0.0002188896648121904,2.6253983083130046e-10
0.06666666666666667,0.001,0.0002481821168137606,0.0002481822340118482,-1.1719808760621286e-10
0.08333333333333333,0.001,0.00027469935689586973,0.0002746997806973875,-4.238015177508714e-10
0.1,0.001,0.00029902051195120023,0.00029902107453289717,-5.625816969397068e-10
0.11666666666666667,0.001,0.00032157235439365613,0.00032157329937971266,-9.449860565282145e-10
0.13333333333333333,0.001,0.00034267415651644055,0.0003426744728084523,-3.162920117331415e-10
0.15,0.001,0.0003625490114621822,0.00036255326508884177,-4.253626659559383e-9
0.16666666666666666,0.001,0.00038142272953012345,0.0003814241974479764,-1.4679178529718e-9
0.18333333333333332,0.001,0.00039938693566635305,0.0003993626411938555,2.4294472497545655e-8
0.2,0.001,0.00041658378091803867,0.0004165863271215209,-2.546203482214557e-9
